invoice_id,invoice_line_id,project,invoice_status,usage_fee
3859314,3903522,D,Paid,0.57
3634172,3669004,D,Paid,0.57
3615227,3649226,D,Paid,0.57
58579894,82347670,D,Paid,0.57
3706451,3744411,D,Paid,0.57
3839488,3882692,D,Paid,0.57
3758225,3798090,D,Paid,0.57
3639064,3674087,D,Paid,0.57
58520028,82295048,D,Paid,0.57
3678906,3715450,D,Paid,0.57
58134359,81827266,D,Paid,0.57
58133085,81807860,D,Paid,0.57
57956886,81616397,D,Paid,0.57
3759158,3799052,D,Paid,0.57
58581576,82348569,D,Paid,0.57
3717773,3756263,D,Paid,0.57
3700146,3737812,D,Paid,0.57
3622016,3656253,D,Paid,0.57
3718450,3756995,D,Paid,0.57
58037481,81689761,D,Paid,0.57
58354170,82059836,D,Paid,0.57
3758847,3798730,D,Paid,0.57
58069602,81747793,D,Paid,0.57
3699009,3736605,D,Paid,0.57
3607413,3641048,D,Paid,0.57
16489900,23322026,E,Paid,0.6
3699262,3736870,E,Paid,0.6
3693506,3730819,E,Paid,0.6
3783156,3824077,D,Paid,0.6
16574064,23420580,E,Paid,0.6
3672129,3708381,E,Paid,0.6
3786921,3827965,C,Paid,0.6
3656054,3691801,G,Paid,0.6354288
3722460,3761139,K,Paid,0.7
3803061,3844794,K,Paid,0.7
3860017,3904297,D,Paid,0.76
3858996,3903185,D,Paid,0.76
3703063,3740867,D,Paid,0.76
3635899,3670775,D,Paid,0.76
3870767,3915339,D,Paid,0.76
3631748,3666491,D,Paid,0.76
58550307,82329344,D,Paid,0.76
58394271,82133297,D,Paid,0.76
3777287,3818006,D,Paid,0.76
3695317,3732734,D,Paid,0.76
58134359,81824538,D,Paid,0.76
3704281,3742130,D,Paid,0.76
58068763,81722212,D,Paid,0.76
58101007,81774448,D,Paid,0.76
58133906,81829668,D,Paid,0.76
3618355,3652459,D,Paid,0.76
58133683,81829636,D,Paid,0.76
3812935,3855066,D,Paid,0.76
3741613,3780795,D,Paid,0.76
58581971,82347750,D,Paid,0.76
3702257,3740009,D,Paid,0.76
3709106,3747238,D,Paid,0.76
58256741,81960348,D,Paid,0.76
3716606,3755034,D,Paid,0.76
3847035,3890617,D,Paid,0.76
3870324,3914875,D,Paid,0.76
58037047,81679716,D,Paid,0.76
58257203,81956560,D,Paid,0.76
57900998,81529189,D,Paid,0.76
3794949,3836384,D,Paid,0.76
3716832,3755268,D,Paid,0.76
58284614,81993624,D,Paid,0.76
58395695,82139604,D,Paid,0.76
3706213,3744157,D,Paid,0.76
58100985,81777237,D,Paid,0.76
57929861,81574085,D,Paid,0.76
3756450,3796235,D,Paid,0.76
